x,y/n307,319
289,198
182,172
92,199
37,279
40,354
94,381
155,383
223,390
272,442
243,496
136,560
64,549
34,498
47,525
80,540
118,548
153,539
167,535
185,538
223,536
247,540
277,540
309,538
339,540
388,527
370,494
352,517
360,543
373,551
391,545
416,207
414,184
473,183
513,199
549,272
482,333
411,371
399,552
429,554
568,526
544,497
531,533
563,546
600,537
636,197
636,175
607,544
782,549
808,543
851,169
853,151
821,540
836,544
863,549
887,542
912,534
896,501
907,548
938,538
920,143
946,160
1050,391
1080,453
1119,109
1074,448
1071,473
926,116
938,560
965,586
1012,615
1071,627
1135,616
1186,576
1147,544
1154,590
1182,591
1211,141
1207,106
1309,112
1389,110
1447,107
1225,119
1207,305
1286,298
1362,295
1423,284
1456,278
1215,321
1190,549
1217,546
1249,545
1293,542
1403,533
1449,518
1200,535
