x,y/n269,405
198,329
89,320
37,397
57,449
110,478
158,479
216,514
197,580
141,617
81,648
31,603
57,630
101,643
126,631
163,605
210,552
193,495
235,560
246,600
242,634
270,539
279,486
285,448
296,414
307,368
325,307
370,305
418,365
396,448
305,469
282,470
250,614
253,636
272,665
409,638
299,661
467,627
480,598
481,524
482,426
491,329
505,274
484,608
621,554
609,584
657,505
625,504
667,529
659,452
663,387
651,289
649,254
681,522
715,553
721,482
726,375
720,325
712,255
750,317
758,374
767,419
769,457
785,476
805,493
818,447
828,371
826,306
813,231
810,192
822,477
843,507
859,464
857,430
862,387
863,360
857,326
855,285
853,257
846,204
841,177
902,169
955,164
989,157
858,180
872,339
956,323
996,311
877,357
867,455
863,481
859,503
940,491
989,481
998,474
